"DateTime";"Laveste";"Højeste";"Middel"
"2017-02-01 00:00:00";0,4;2,8;1,9
"2017-02-02 00:00:00";-0,1;2;0,9
"2017-02-03 00:00:00";-0,3;3,2;1,6
"2017-02-04 00:00:00";1,7;3,6;2,6
"2017-02-05 00:00:00";1;3,3;2,4
"2017-02-06 00:00:00";-1,2;3,1;1,5
"2017-02-07 00:00:00";-2,6;-0,5;-1,4
"2017-02-08 00:00:00";-3,4;-1,1;-2,1
"2017-02-09 00:00:00";-3,5;-2;-2,6
"2017-02-10 00:00:00";-2,6;1,3;-0,4
"2017-02-11 00:00:00";-1,1;1,7;0,2
"2017-02-12 00:00:00";-2,7;2,5;0,2
"2017-02-13 00:00:00";-6;0,9;-2,2
"2017-02-14 00:00:00";-6,4;8,5;-0,2
"2017-02-15 00:00:00";-5,1;8,2;1,3
"2017-02-16 00:00:00";-3,4;7,9;3,1
"2017-02-17 00:00:00";2,8;6,4;4,7
"2017-02-18 00:00:00";1,7;5,5;3,8
"2017-02-19 00:00:00";2,6;7,2;5,1
"2017-02-20 00:00:00";4,5;8,5;6,7
"2017-02-21 00:00:00";3;8,6;6,4
"2017-02-22 00:00:00";3,3;9,1;6,3
"2017-02-23 00:00:00";0;6,8;4,2
"2017-02-24 00:00:00";-1,4;4,2;1,3
"2017-02-25 00:00:00";-3,5;4,5;1,6
"2017-02-26 00:00:00";3,8;7,7;6,4
"2017-02-27 00:00:00";5,4;9,1;7,5
"2017-02-28 00:00:00";2,7;8,2;5,6
